election,city,district,polling_station,lee_jae_myung,yoon_suk_yeol,ballots_cast,registered_voters
2022-presidential,대구광역시,서구,비산1동제3투,131,618,787,1268
2022-presidential,대구광역시,서구,비산1동제4투,131,618,791,1263
