case,k_space,designated_pairs,probability,probability_percent,reciprocal
gwangju_jeonnam_5_pre_designated_pairs,100944.8,5,9.540700009422666e-26,9.540700009422667e-24,1.0481411206854544e+25
nationwide_6_pre_designated_pairs,100944.8,6,9.451403152438428e-31,9.451403152438428e-29,1.0580439579936907e+30
