city,city_code,town,town_code,unit,vote_class,electors,turnout,source_file
광주광역시,2900,북구,2904,동림동,관내사전투표,2755,2755,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,우산동,관내사전투표,2211,2210,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,풍향동,관내사전투표,868,868,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,문화동,관내사전투표,3482,3482,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,문흥1동,관내사전투표,3268,3267,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,문흥2동,관내사전투표,2905,2905,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,두암1동,관내사전투표,1476,1476,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,두암2동,관내사전투표,2729,2727,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,두암3동,관내사전투표,2796,2795,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,삼각동,관내사전투표,2293,2292,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,일곡동,관내사전투표,5203,5202,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,매곡동,관내사전투표,3920,3920,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,오치1동,관내사전투표,1522,1522,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,오치2동,관내사전투표,2408,2408,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,석곡동,관내사전투표,586,586,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,건국동,관내사전투표,3381,3378,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,양산동,관내사전투표,5152,5151,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,북구,2904,신용동,관내사전투표,4008,4008,data/nec_2026_official_html/2900_2904_북구.html
광주광역시,2900,광산구,2905,송정1동,관내사전투표,1764,1764,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,송정2동,관내사전투표,1124,1124,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,도산동,관내사전투표,2970,2970,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,신흥동,관내사전투표,722,722,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,어룡동,관내사전투표,4734,4733,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,우산동,관내사전투표,3483,3483,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,월곡1동,관내사전투표,1707,1707,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,월곡2동,관내사전투표,2318,2317,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,비아동,관내사전투표,1235,1234,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,첨단1동,관내사전투표,4791,4790,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,첨단2동,관내사전투표,4000,3999,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,신가동,관내사전투표,2260,2259,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,운남동,관내사전투표,4576,4575,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,신창동,관내사전투표,5002,5001,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,수완동,관내사전투표,6733,6731,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,하남동,관내사전투표,3929,3929,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,임곡동,관내사전투표,534,534,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,동곡동,관내사전투표,445,445,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,평동,관내사전투표,1345,1345,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,삼도동,관내사전투표,515,515,data/nec_2026_official_html/2900_2905_광산구.html
광주광역시,2900,광산구,2905,본량동,관내사전투표,418,418,data/nec_2026_official_html/2900_2905_광산구.html
전라남도,4600,목포시,4601,용당1동,관내사전투표,1924,1923,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,용당2동,관내사전투표,1157,1157,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,연동,관내사전투표,802,802,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,산정동,관내사전투표,1562,1561,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,연산동,관내사전투표,1352,1352,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,원산동,관내사전투표,2222,2222,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,대성동,관내사전투표,1257,1257,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,목원동,관내사전투표,1391,1391,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,동명동,관내사전투표,1162,1161,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,삼학동,관내사전투표,1354,1354,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,만호동,관내사전투표,579,579,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,유달동,관내사전투표,1048,1048,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,죽교동,관내사전투표,736,735,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,북항동,관내사전투표,2135,2135,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,용해동,관내사전투표,3203,3201,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,이로동,관내사전투표,2027,2027,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,상동,관내사전투표,3125,3125,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,하당동,관내사전투표,1786,1786,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,신흥동,관내사전투표,2506,2503,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,삼향동,관내사전투표,1525,1525,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,옥암동,관내사전투표,2433,2433,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,부흥동,관내사전투표,2171,2171,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,목포시,4601,부주동,관내사전투표,3397,3396,data/nec_2026_official_html/4600_4601_목포시.html
전라남도,4600,여수시,4602,돌산읍,관내사전투표,1291,1291,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,소라면,관내사전투표,2775,2775,data/nec_2026_official_html/4600_4602_여수시.html
전라남도,4600,여수시,4602,율촌면,관내사전투표,1457,1457,data/nec_2026_official_html/4600_4602_여수시.html
