pair_id,candidate_1,candidate_1_votes,candidate_2,candidate_2_votes,units
boseong_sinan,민형배,356,이정현,42,전라남도 보성군 노동면|전라남도 신안군 팔금면
gwangju_goheung,민형배,1401,이정현,120,광주광역시 광산구 송정1동|전라남도 고흥군 금산면
hampyeong_jangseong,민형배,606,이정현,57,전라남도 함평군 엄다면|전라남도 장성군 북하면
hwasun_gangjin,민형배,444,이정현,46,전라남도 화순군 이양면|전라남도 강진군 병영면
incheon_songdo,박찬대,3030,유정복,1440,인천광역시 연수구 송도1동|인천광역시 연수구 송도2동
sinan_yeosu,민형배,506,이정현,42,전라남도 신안군 하의면|전라남도 여수시 삼일동
