n,k_space,threshold,poisson_probability,exact_probability,exact_probability_percent,poisson_minus_exact,exact_reciprocal
393,100945,3,0.04226077201454281,0.042154777055501635,4.215477705550164,0.00010599495904117795,23.722103871724535
393,100945,4,0.007734837111887716,0.00785194541984957,0.7851945419849571,-0.00011710830796185512,127.3569728938791
393,100945,5,0.0011484064248148407,0.0012190883791786122,0.12190883791786122,-7.068195436377156e-05,820.2850729114259
393,100945,6,0.00014322422035484283,0.00016497161821593664,0.016497161821593664,-2.174739786109381e-05,6061.648729729182
