election,sido,district,dem_name,con_party,con_name,early_dem,early_con,day_dem,day_con,early_two_party_votes,day_two_party_votes,early_dem_share,day_dem_share,early_minus_day_pp,z
2024-assembly,경기도,고양시갑,김성회,국민의힘,한창섭,35454,20528,33659,33534,55982,67193,0.6333107070129684,0.5009301564151027,13.238055059786568,46.617154720429454
2024-assembly,경기도,고양시을,한준호,국민의힘,장석환,48802,23470,48036,35664,72272,83700,0.6752545937569183,0.5739068100358423,10.1347783721076,41.138060063645135
2024-assembly,경기도,고양시병,이기헌,국민의힘,김종혁,43772,27472,40618,44473,71244,85091,0.6143955982258155,0.4773477806113455,13.704781761446998,54.14650039308471
2024-assembly,경기도,고양시정,김영환,국민의힘,김용태,42551,25856,42416,44221,68407,86637,0.6220269855424152,0.48958297263293976,13.244401290947543,52.02940929215576
2024-assembly,경기도,의왕시과천시,이소영,국민의힘,최기식,41926,27293,39121,40902,69219,80023,0.6057007469047516,0.48887194931457206,11.682879759017956,45.18255366705147
2024-assembly,경기도,구리시,윤호중,국민의힘,나태근,28077,17496,30935,29968,45573,60903,0.61608847343822,0.5079388535868512,10.814961985136884,35.1294765551683
2024-assembly,경기도,남양주시갑,최민희,국민의힘,유낙준,27581,14374,30196,26147,41955,56343,0.6573948277916816,0.5359317040271196,12.146312376456192,38.26582332618312
2024-assembly,경기도,남양주시을,김병주,국민의힘,곽관용,33762,17732,40872,35833,51494,76705,0.6556492018487591,0.5328466201681767,12.280258168058234,43.70499285752533
2024-assembly,경기도,남양주시병,김용민,국민의힘,조광한,37559,21779,45346,42536,59338,87882,0.6329670700057299,0.5159873466693976,11.697972333633233,44.387830184945116
2024-assembly,경기도,오산시,차지호,국민의힘,김효은,30118,16677,37133,30083,46795,67216,0.6436157709156961,0.5524428707450607,9.117290017063539,30.78850352887718
2024-assembly,경기도,시흥시갑,문정복,국민의힘,정필재,41960,20980,46298,34656,62940,80954,0.6666666666666666,0.5719050324875855,9.476163417908111,36.61688699041926
2024-assembly,경기도,시흥시을,조정식,국민의힘,김윤식,34990,19116,35916,30590,54106,66506,0.6466935275200533,0.5400415000150363,10.6652027505017,37.42584397330499
2024-assembly,경기도,군포시,이학영,국민의힘,최진학,43716,25360,45333,42182,69076,87515,0.6328681452313394,0.5180026281208936,11.48655171104458,45.569727143789706
2024-assembly,경기도,하남시갑,추미애,국민의힘,이용,27873,21086,23267,28926,48959,52193,0.5693130987152515,0.4457877493150422,12.352534940020925,39.26885646300584
2024-assembly,경기도,하남시을,김용만,국민의힘,이창근,23251,14953,21220,22745,38204,43965,0.608601193592294,0.4826566587057887,12.594453488650531,36.1362999074456
2024-assembly,경기도,용인시갑,이상식,국민의힘,이원모,35570,24568,34994,37218,60138,72212,0.5914729455585487,0.4846008973577799,10.687204820076879,38.80329870597923
2024-assembly,경기도,용인시을,손명수,국민의힘,이상철,43629,24180,43505,41242,67809,84747,0.6434101667920188,0.513351505068026,13.005866172399283,51.003975673946606
2024-assembly,경기도,용인시병,부승찬,국민의힘,고석,41748,29385,39014,50872,71133,89886,0.586900594660706,0.4340386712057495,15.286192345495648,60.922045805069644
2024-assembly,경기도,용인시정,이언주,국민의힘,강철호,42862,28553,38511,46465,71415,84976,0.6001820345865715,0.45319855017887406,14.698348440769744,57.955462327208515
2024-assembly,경기도,파주시갑,윤후덕,국민의힘,박용호,41140,17788,50963,35416,58928,86379,0.6981401031767581,0.5899929380983804,10.814716507837774,42.01596222046342
2024-assembly,경기도,파주시을,박정,국민의힘,한길룡,31583,20578,32578,32417,52161,64995,0.6054906922796726,0.5012385568120624,10.425213546761015,35.630928976683904
2024-assembly,경기도,이천시,엄태준,국민의힘,송석준,30123,25936,26574,33989,56059,60563,0.5373445833853618,0.43878275514753234,9.85618282378295,33.64660851852007
2024-assembly,경기도,안성시,윤종군,국민의힘,김학용,27486,21167,24786,27742,48653,52528,0.5649394693030234,0.4718626256472738,9.307684365574959,29.60141188256487
2024-assembly,경기도,김포시갑,김주영,국민의힘,박진호,29949,19379,39469,39264,49328,78733,0.6071399610768732,0.5013018683398321,10.583809273704103,36.9940147016361
