election,districts,mean_early_minus_day_pp,median_early_minus_day_pp,dem_early_higher_count,dem_early_lower_count,sign_test_p_one_sided,sign_test_reciprocal,abs_z_gt_5,abs_z_gt_10,max_abs_z
2016-assembly,229,3.902347771407794,3.4310325070524783,211,18,2.9873937634285562e-43,3.34739936945013e+42,158,88,31.93891301620423
2020-assembly,236,10.881931488172144,11.209651926791619,236,0,9.055679078826712e-72,1.1042794154864902e+71,236,234,55.769572404192786
2024-assembly,245,10.351186302658121,10.798362448692533,245,0,1.7686873200833423e-74,5.65391060729083e+73,245,245,60.922045805069644
