n,k_space,threshold,lambda,probability,probability_percent,reciprocal
350,100944.8,5,0.6050336421489765,0.0004096177139301105,0.04096177139301105,2441.3006713147697
390,100944.8,5,0.7514502975883849,0.0010737379020752114,0.10737379020752114,931.3259763554046
393,100944.8,5,0.7630705098231905,0.0011484064248148407,0.11484064248148407,870.7718612434892
400,100944.8,5,0.7905310625212988,0.0013400617159063932,0.13400617159063932,746.2342876675783
430,100944.8,5,0.9137171998953884,0.0025002186091176437,0.25002186091176437,399.9650255994661
450,100944.8,5,1.0007944936242381,0.003672039591659959,0.3672039591659959,272.32821842967826
