signature_type,election,category,contest,vote_class,signature,unit,candidate_names
top2_candidates,2014-local,교육감,부산광역시|부산광역시,관내사전투표,104|134,만덕제1동|관내사전투표,박맹언|임혜경
top2_candidates,2014-local,기초의원비례대표,서울특별시|강동구,관내사전투표,649|848,성내제3동|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,기초의원비례대표,서울특별시|강동구,관내사전투표,649|848,암사제1동|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,교육감,서울특별시|서울특별시,관내사전투표,101|402,갈현제2동|관내사전투표,이상면|고승덕
top2_candidates,2014-local,교육감,서울특별시|서울특별시,관내사전투표,101|402,암사제2동|관내사전투표,이상면|고승덕
top2_candidates,2014-local,교육감,서울특별시|서울특별시,관내사전투표,28|355,대치4동|관내사전투표,이상면|고승덕
top2_candidates,2014-local,교육감,서울특별시|서울특별시,관내사전투표,28|355,중곡제2동|관내사전투표,이상면|고승덕
top2_candidates,2014-local,교육감,서울특별시|서울특별시,관내사전투표,33|429,수유제1동|관내사전투표,이상면|고승덕
top2_candidates,2014-local,교육감,서울특별시|서울특별시,관내사전투표,33|429,평창동|관내사전투표,이상면|고승덕
top2_candidates,2014-local,교육감,서울특별시|서울특별시,관내사전투표,67|402,서초1동|관내사전투표,이상면|고승덕
top2_candidates,2014-local,교육감,서울특별시|서울특별시,관내사전투표,67|402,신원동|관내사전투표,이상면|고승덕
top2_candidates,2014-local,광역의원비례대표,전라남도|전라남도,관내사전투표,24|124,군내면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,광역의원비례대표,전라남도|전라남도,관내사전투표,24|124,유치면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,광역의원비례대표,전라남도|전라남도,관내사전투표,25|191,동강면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,광역의원비례대표,전라남도|전라남도,관내사전투표,25|191,풍양면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,광역의원비례대표,전라남도|전라남도,관내사전투표,27|140,금당면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,광역의원비례대표,전라남도|전라남도,관내사전투표,27|140,남면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,광역의원비례대표,전라남도|전라남도,관내사전투표,29|234,광림동|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,광역의원비례대표,전라남도|전라남도,관내사전투표,29|234,마량면|관내사전투표,새누리당|새정치민주연합
top2_candidates,2014-local,교육감,전라남도|전라남도,관내사전투표,35|43,불갑면|관내사전투표,김동철|김경택
top2_candidates,2014-local,교육감,전라남도|전라남도,관내사전투표,35|43,상사면|관내사전투표,김동철|김경택
top2_candidates,2014-local,교육감,전라남도|전라남도,관내사전투표,37|57,자은면|관내사전투표,김동철|김경택
top2_candidates,2014-local,교육감,전라남도|전라남도,관내사전투표,37|57,회천면|관내사전투표,김동철|김경택
top2_candidates,2014-local,교육감,전라남도|전라남도,관내사전투표,52|95,대동면|관내사전투표,김동철|김경택
top2_candidates,2014-local,교육감,전라남도|전라남도,관내사전투표,52|95,용산면|관내사전투표,김동철|김경택
top2_candidates,2014-local,교육감,전라남도|전라남도,관내사전투표,54|94,노안면|관내사전투표,김동철|김경택
top2_candidates,2014-local,교육감,전라남도|전라남도,관내사전투표,54|94,진월면|관내사전투표,김동철|김경택
top2_candidates,2014-local,교육감,전라남도|전라남도,관내사전투표,58|103,소라면|관내사전투표,김동철|김경택
top2_candidates,2014-local,교육감,전라남도|전라남도,관내사전투표,58|103,진상면|관내사전투표,김동철|김경택
top2_candidates,2014-local,구·시·군의장,전라북도|임실군,관내사전투표,28|11,운암면|관내사전투표,김택성|이종태
top2_candidates,2014-local,구·시·군의장,전라북도|임실군,관내사전투표,28|11,청웅면|관내사전투표,김택성|이종태
