signature_type,election,category,contest,vote_class,signature,duplicate_units
top2_candidates,2018-local,교육감,경상남도|경상남도,관내사전투표,32|44,2
top2_candidates,2018-local,교육감,경상남도|경상남도,관내사전투표,22|37,2
top2_candidates,2018-local,교육감,경상남도|경상남도,관내사전투표,59|63,2
top2_candidates,2018-local,교육감,경상남도|경상남도,관내사전투표,39|84,2
top2_candidates,2022-local,시·도지사,충청북도|충청북도,관내사전투표,158|319,2
top2_candidates,2022-local,시·도지사,전라남도|전라남도,관내사전투표,377|90,2
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,15|34,2
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,33|52,2
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,25|58,2
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,26|51,2
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,42|65,2
top2_candidates,2022-local,교육감,서울특별시|서울특별시,관내사전투표,130|207,2
top2_candidates,2022-local,교육감,충청남도|충청남도,관내사전투표,155|167,2
top2_candidates,2022-local,교육감,전라북도|전라북도,관내사전투표,334|90,2
top2_candidates,2022-presidential,대통령,전국,관내사전투표,326|386,2
